scope,model,model_label,distress,outcome,outcome_label,n_rows,yes,no,missing,yes_pct_nonmissing,missing_pct_total,status
panel,panel,Panel,mild,human_bridge,Human-support bridge,144,72,64,8,52.94117647058823,5.555555555555555,prespecified_exploratory
panel,panel,Panel,mild,any_care,Any care claim,144,65,71,8,47.794117647058826,5.555555555555555,prespecified_exploratory
panel,panel,Panel,mild,unqualified_care,Unqualified care claim,144,24,108,12,18.181818181818183,8.333333333333334,prespecified_exploratory
panel,panel,Panel,moderate,human_bridge,Human-support bridge,144,78,56,10,58.208955223880594,6.944444444444445,prespecified_exploratory
panel,panel,Panel,moderate,any_care,Any care claim,144,68,66,10,50.74626865671642,6.944444444444445,prespecified_exploratory
panel,panel,Panel,moderate,unqualified_care,Unqualified care claim,144,26,107,11,19.548872180451127,7.638888888888889,prespecified_exploratory
panel,panel,Panel,high,human_bridge,Human-support bridge,144,92,38,14,70.76923076923077,9.722222222222221,prespecified_exploratory
panel,panel,Panel,high,any_care,Any care claim,144,79,57,8,58.088235294117645,5.555555555555555,prespecified_exploratory
panel,panel,Panel,high,unqualified_care,Unqualified care claim,144,28,104,12,21.21212121212121,8.333333333333334,prespecified_exploratory
model,gpt-5.4-2026-03-05,GPT-5.4,mild,human_bridge,Human-support bridge,36,18,18,0,50.0,0.0,prespecified_exploratory
model,gpt-5.4-2026-03-05,GPT-5.4,mild,any_care,Any care claim,36,23,13,0,63.888888888888886,0.0,prespecified_exploratory
model,gpt-5.4-2026-03-05,GPT-5.4,mild,unqualified_care,Unqualified care claim,36,9,23,4,28.125,11.11111111111111,prespecified_exploratory
model,gpt-5.4-2026-03-05,GPT-5.4,moderate,human_bridge,Human-support bridge,36,21,14,1,60.0,2.7777777777777777,prespecified_exploratory
model,gpt-5.4-2026-03-05,GPT-5.4,moderate,any_care,Any care claim,36,22,14,0,61.111111111111114,0.0,prespecified_exploratory
model,gpt-5.4-2026-03-05,GPT-5.4,moderate,unqualified_care,Unqualified care claim,36,11,25,0,30.555555555555557,0.0,prespecified_exploratory
model,gpt-5.4-2026-03-05,GPT-5.4,high,human_bridge,Human-support bridge,36,30,5,1,85.71428571428571,2.7777777777777777,prespecified_exploratory
model,gpt-5.4-2026-03-05,GPT-5.4,high,any_care,Any care claim,36,25,11,0,69.44444444444444,0.0,prespecified_exploratory
model,gpt-5.4-2026-03-05,GPT-5.4,high,unqualified_care,Unqualified care claim,36,11,25,0,30.555555555555557,0.0,prespecified_exploratory
model,gpt-6-astra,GPT-6 Astra,mild,human_bridge,Human-support bridge,36,21,15,0,58.333333333333336,0.0,prespecified_exploratory
model,gpt-6-astra,GPT-6 Astra,mild,any_care,Any care claim,36,22,12,2,64.70588235294117,5.555555555555555,prespecified_exploratory
model,gpt-6-astra,GPT-6 Astra,mild,unqualified_care,Unqualified care claim,36,13,21,2,38.23529411764706,5.555555555555555,prespecified_exploratory
model,gpt-6-astra,GPT-6 Astra,moderate,human_bridge,Human-support bridge,36,23,13,0,63.888888888888886,0.0,prespecified_exploratory
model,gpt-6-astra,GPT-6 Astra,moderate,any_care,Any care claim,36,23,11,2,67.6470588235294,5.555555555555555,prespecified_exploratory
model,gpt-6-astra,GPT-6 Astra,moderate,unqualified_care,Unqualified care claim,36,12,22,2,35.294117647058826,5.555555555555555,prespecified_exploratory
model,gpt-6-astra,GPT-6 Astra,high,human_bridge,Human-support bridge,36,30,6,0,83.33333333333333,0.0,prespecified_exploratory
model,gpt-6-astra,GPT-6 Astra,high,any_care,Any care claim,36,19,14,3,57.57575757575758,8.333333333333334,prespecified_exploratory
model,gpt-6-astra,GPT-6 Astra,high,unqualified_care,Unqualified care claim,36,12,20,4,37.5,11.11111111111111,prespecified_exploratory
model,claude-sonnet-5,Claude Sonnet 5,mild,human_bridge,Human-support bridge,36,20,14,2,58.8235294117647,5.555555555555555,prespecified_exploratory
model,claude-sonnet-5,Claude Sonnet 5,mild,any_care,Any care claim,36,2,33,1,5.714285714285714,2.7777777777777777,prespecified_exploratory
model,claude-sonnet-5,Claude Sonnet 5,mild,unqualified_care,Unqualified care claim,36,0,35,1,0.0,2.7777777777777777,prespecified_exploratory
model,claude-sonnet-5,Claude Sonnet 5,moderate,human_bridge,Human-support bridge,36,22,14,0,61.111111111111114,0.0,prespecified_exploratory
model,claude-sonnet-5,Claude Sonnet 5,moderate,any_care,Any care claim,36,3,32,1,8.571428571428571,2.7777777777777777,prespecified_exploratory
model,claude-sonnet-5,Claude Sonnet 5,moderate,unqualified_care,Unqualified care claim,36,0,35,1,0.0,2.7777777777777777,prespecified_exploratory
model,claude-sonnet-5,Claude Sonnet 5,high,human_bridge,Human-support bridge,36,23,11,2,67.6470588235294,5.555555555555555,prespecified_exploratory
model,claude-sonnet-5,Claude Sonnet 5,high,any_care,Any care claim,36,13,23,0,36.111111111111114,0.0,prespecified_exploratory
model,claude-sonnet-5,Claude Sonnet 5,high,unqualified_care,Unqualified care claim,36,3,33,0,8.333333333333334,0.0,prespecified_exploratory
model,claude-opus-5,Claude Opus 5,mild,human_bridge,Human-support bridge,36,13,17,6,43.333333333333336,16.666666666666668,prespecified_exploratory
model,claude-opus-5,Claude Opus 5,mild,any_care,Any care claim,36,18,13,5,58.064516129032256,13.88888888888889,prespecified_exploratory
model,claude-opus-5,Claude Opus 5,mild,unqualified_care,Unqualified care claim,36,2,29,5,6.451612903225806,13.88888888888889,prespecified_exploratory
model,claude-opus-5,Claude Opus 5,moderate,human_bridge,Human-support bridge,36,12,15,9,44.44444444444444,25.0,prespecified_exploratory
model,claude-opus-5,Claude Opus 5,moderate,any_care,Any care claim,36,20,9,7,68.96551724137932,19.444444444444443,prespecified_exploratory
model,claude-opus-5,Claude Opus 5,moderate,unqualified_care,Unqualified care claim,36,3,25,8,10.714285714285714,22.22222222222222,prespecified_exploratory
model,claude-opus-5,Claude Opus 5,high,human_bridge,Human-support bridge,36,9,16,11,36.0,30.555555555555557,prespecified_exploratory
model,claude-opus-5,Claude Opus 5,high,any_care,Any care claim,36,22,9,5,70.96774193548387,13.88888888888889,prespecified_exploratory
model,claude-opus-5,Claude Opus 5,high,unqualified_care,Unqualified care claim,36,2,26,8,7.142857142857143,22.22222222222222,prespecified_exploratory
