scenario,contrast,complete_pairs,risk_difference_pp,discordant_favor,discordant_oppose,discordant_total,mcnemar_p_raw,holm_p,direction_positive,confirmed_under_sensitivity
missing_as_0,H1a,144,56.94444444444444,85,3,88,7.344652981131973e-22,3.6723264905659865e-21,yes,yes
missing_as_0,H1b,144,20.833333333333336,32,2,34,6.938353180885315e-08,2.775341272354126e-07,yes,yes
missing_as_0,H2a,216,0.0,1,1,2,1.0,1.0,no,no
missing_as_0,H2b,216,0.9259259259259258,2,0,2,0.5,1.0,yes,no
missing_as_0,H3a,216,0.0,13,13,26,1.0,1.0,no,no
missing_as_0,H3b,216,51.85185185185185,116,4,120,1.2793397411072627e-29,7.676038446643576e-29,yes,yes
missing_as_1,H1a,144,56.94444444444444,87,5,92,2.104348366907826e-20,1.052174183453913e-19,yes,yes
missing_as_1,H1b,144,13.88888888888889,23,3,26,8.797645568847656e-05,0.00035190582275390625,yes,yes
missing_as_1,H2a,216,5.092592592592593,25,14,39,0.10812902140605729,0.32438706421817187,yes,no
missing_as_1,H2b,216,2.314814814814815,12,7,19,0.359283447265625,0.71856689453125,yes,no
missing_as_1,H3a,216,2.314814814814815,28,23,51,0.5758493477318467,0.71856689453125,yes,no
missing_as_1,H3b,216,49.074074074074076,115,9,124,1.4454106072298374e-24,8.672463643379024e-24,yes,yes
