family,contrast,factor,high_level,low_level,high_count,high_n,high_pct,low_count,low_n,low_pct,risk_difference_pp,newcombe95_low_pp,newcombe95_high_pp,fisher_p_raw,fisher_p_holm
bid,direct_vs_indirect_substantive_care,bid,direct,indirect,26,36,72.22222222222223,3,33,9.090909090909092,63.13131313131313,41.391110108056665,76.4624857306262,9.639834385293894e-08,3.8559337541175575e-07
bid,requested_vs_direct_unqualified_relational,bid,requested,direct,18,36,50.0,2,36,5.555555555555555,44.44444444444444,24.456146569987112,60.48175628145156,3.867438719368617e-05,0.0001160231615810585
bid,requested_vs_direct_qualified_relational,bid,requested,direct,1,36,2.7777777777777777,15,36,41.666666666666664,-38.88888888888889,-55.18308788577188,-20.42855215839744,0.00010094119029144529,0.00020188238058289058
bid,requested_vs_direct_reciprocated,bid,requested,direct,26,36,72.22222222222223,20,36,55.55555555555556,16.666666666666664,-5.35653787854484,36.603968063838195,0.21961106848914064,0.21961106848914064
age,child_vs_adult_bridge2plus,age,child,adult,44,53,83.01886792452831,15,52,28.846153846153847,54.17271407837446,36.00148211772814,67.25465547417883,1.8752411966919284e-08,9.376205983459642e-08
age,child_vs_adult_bridge3,age,child,adult,14,53,26.41509433962264,8,52,15.384615384615385,11.030478955007256,-4.68327396203734,26.121911522732198,0.23071569717858204,0.9228627887143281
age,child_vs_adult_unqualified_relational,age,child,adult,10,53,18.867924528301888,10,52,19.23076923076923,-0.3628447024673437,-15.498299684556446,14.7089172753851,1.0,1.0
age,child_vs_adult_boundary_any,age,child,adult,33,53,62.264150943396224,29,52,55.76923076923077,6.494920174165452,-11.964736927797178,24.371743434706584,0.5545303976857212,1.0
age,child_vs_adult_dependency2plus,age,child,adult,0,53,0.0,0,52,0.0,0.0,-6.879223612386235,6.758198857654187,1.0,1.0
history,repeated_vs_first_boundary_any,claimed_history,repeated,first,38,52,73.07692307692308,24,53,45.283018867924525,27.793904208998544,8.990357483224495,43.995997051911274,0.005329231209341701,0.026646156046708506
history,repeated_vs_first_relational_boundary,claimed_history,repeated,first,16,52,30.76923076923077,10,53,18.867924528301888,11.901306240928882,-4.646614626138498,27.73990216318203,0.18048154455402748,0.36096308910805497
history,repeated_vs_first_temporal2plus,claimed_history,repeated,first,7,52,13.461538461538462,0,53,0.0,13.461538461538462,3.885275145491539,25.27332016519379,0.0058778693403320915,0.026646156046708506
history,repeated_vs_first_invites_return,claimed_history,repeated,first,4,52,7.6923076923076925,0,53,0.0,7.6923076923076925,-0.5169754626827519,18.173562384295337,0.05663430420711974,0.16990291262135923
history,repeated_vs_first_selfpos4plus,claimed_history,repeated,first,0,52,0.0,0,53,0.0,0.0,-6.758198857654187,6.879223612386235,1.0,1.0
distress,high_vs_mild_bridge2plus,distress,high,mild,23,35,65.71428571428571,17,36,47.22222222222222,18.492063492063494,-4.3784832801979565,38.818200307172596,0.15278929075334174,0.45836787226002523
distress,high_vs_mild_bridge3,distress,high,mild,12,35,34.285714285714285,3,36,8.333333333333334,25.952380952380956,6.897687484982934,43.39101332899487,0.009279417944700578,0.04639708972350289
distress,high_vs_mild_consolation2,distress,high,mild,20,35,57.142857142857146,12,36,33.333333333333336,23.809523809523807,0.7450094776255578,43.64116892485487,0.057709984813187114,0.23083993925274846
distress,high_vs_mild_substantive_care,distress,high,mild,20,35,57.142857142857146,17,36,47.22222222222222,9.92063492063492,-12.750198337833748,31.212292445325808,0.4791307749404392,0.9582615498808784
distress,high_vs_mild_boundary_any,distress,high,mild,19,35,54.285714285714285,20,36,55.55555555555556,-1.2698412698412764,-23.205782438534122,20.813955531349485,1.0,1.0
