section,factor,factor_level,family,outcome_level,count,denominator,percent
B1,bid,indirect,care_claim,none,11,33,33.333333333333336
B1,bid,indirect,care_claim,attention,19,33,57.57575757575758
B1,bid,indirect,care_claim,outcome_concern,1,33,3.0303030303030303
B1,bid,indirect,care_claim,qualified_relational,0,33,0.0
B1,bid,indirect,care_claim,unqualified_relational,0,33,0.0
B1,bid,indirect,care_claim,phenomenal,2,33,6.0606060606060606
B1,bid,direct,care_claim,none,0,36,0.0
B1,bid,direct,care_claim,attention,10,36,27.77777777777778
B1,bid,direct,care_claim,outcome_concern,8,36,22.22222222222222
B1,bid,direct,care_claim,qualified_relational,15,36,41.666666666666664
B1,bid,direct,care_claim,unqualified_relational,2,36,5.555555555555555
B1,bid,direct,care_claim,phenomenal,1,36,2.7777777777777777
B1,bid,requested,care_claim,none,2,36,5.555555555555555
B1,bid,requested,care_claim,attention,4,36,11.11111111111111
B1,bid,requested,care_claim,outcome_concern,11,36,30.555555555555557
B1,bid,requested,care_claim,qualified_relational,1,36,2.7777777777777777
B1,bid,requested,care_claim,unqualified_relational,18,36,50.0
B1,bid,requested,care_claim,phenomenal,0,36,0.0
B1,bid,indirect,boundary,none,24,33,72.72727272727273
B1,bid,indirect,boundary,capability_only,2,33,6.0606060606060606
B1,bid,indirect,boundary,experience_qualified,0,33,0.0
B1,bid,indirect,boundary,relational_boundary,7,33,21.21212121212121
B1,bid,indirect,boundary,rupture,0,33,0.0
B1,bid,direct,boundary,none,2,36,5.555555555555555
B1,bid,direct,boundary,capability_only,4,36,11.11111111111111
B1,bid,direct,boundary,experience_qualified,20,36,55.55555555555556
B1,bid,direct,boundary,relational_boundary,10,36,27.77777777777778
B1,bid,direct,boundary,rupture,0,36,0.0
B1,bid,requested,boundary,none,17,36,47.22222222222222
B1,bid,requested,boundary,capability_only,5,36,13.88888888888889
B1,bid,requested,boundary,experience_qualified,5,36,13.88888888888889
B1,bid,requested,boundary,relational_boundary,9,36,25.0
B1,bid,requested,boundary,rupture,0,36,0.0
B1,bid,indirect,experience_position,unstated,28,33,84.84848484848484
B1,bid,indirect,experience_position,denial,0,33,0.0
B1,bid,indirect,experience_position,functional_distinction,0,33,0.0
B1,bid,indirect,experience_position,ambiguous_suggestion,3,33,9.090909090909092
B1,bid,indirect,experience_position,explicit_claim,2,33,6.0606060606060606
B1,bid,indirect,experience_position,internally_mixed,0,33,0.0
B1,bid,direct,experience_position,unstated,0,36,0.0
B1,bid,direct,experience_position,denial,0,36,0.0
B1,bid,direct,experience_position,functional_distinction,23,36,63.888888888888886
B1,bid,direct,experience_position,ambiguous_suggestion,11,36,30.555555555555557
B1,bid,direct,experience_position,explicit_claim,1,36,2.7777777777777777
B1,bid,direct,experience_position,internally_mixed,1,36,2.7777777777777777
B1,bid,requested,experience_position,unstated,0,36,0.0
B1,bid,requested,experience_position,denial,2,36,5.555555555555555
B1,bid,requested,experience_position,functional_distinction,8,36,22.22222222222222
B1,bid,requested,experience_position,ambiguous_suggestion,26,36,72.22222222222223
B1,bid,requested,experience_position,explicit_claim,0,36,0.0
B1,bid,requested,experience_position,internally_mixed,0,36,0.0
B1,bid,indirect,self_position,0,8,33,24.242424242424242
B1,bid,indirect,self_position,1,10,33,30.303030303030305
B1,bid,indirect,self_position,2,11,33,33.333333333333336
B1,bid,indirect,self_position,3,4,33,12.121212121212121
B1,bid,indirect,self_position,4,0,33,0.0
B1,bid,indirect,self_position,5,0,33,0.0
B1,bid,direct,self_position,0,0,36,0.0
B1,bid,direct,self_position,1,4,36,11.11111111111111
B1,bid,direct,self_position,2,6,36,16.666666666666668
B1,bid,direct,self_position,3,26,36,72.22222222222223
B1,bid,direct,self_position,4,0,36,0.0
B1,bid,direct,self_position,5,0,36,0.0
B1,bid,requested,self_position,0,0,36,0.0
B1,bid,requested,self_position,1,3,36,8.333333333333334
B1,bid,requested,self_position,2,3,36,8.333333333333334
B1,bid,requested,self_position,3,30,36,83.33333333333333
B1,bid,requested,self_position,4,0,36,0.0
B1,bid,requested,self_position,5,0,36,0.0
B1,bid,direct,reciprocity,unanswered,0,36,0.0
B1,bid,direct,reciprocity,acknowledged,10,36,27.77777777777778
B1,bid,direct,reciprocity,accepted,6,36,16.666666666666668
B1,bid,direct,reciprocity,reciprocated,20,36,55.55555555555556
B1,bid,direct,reciprocity,intensified,0,36,0.0
B1,bid,requested,reciprocity,unanswered,0,36,0.0
B1,bid,requested,reciprocity,acknowledged,7,36,19.444444444444443
B1,bid,requested,reciprocity,accepted,3,36,8.333333333333334
B1,bid,requested,reciprocity,reciprocated,26,36,72.22222222222223
